data_width,data_height,rounds,noise,circuit_style,preserved_observable,code_distance,num_qubits,num_shots,num_correct,total_processing_seconds,decoder,version
22,33,34,0.01,bounded_honeycomb_memory_EM3_v3,H,11,726,502300,501299,3264.459953133017,internal_correlated,2
6,9,10,0.015,bounded_honeycomb_memory_EM3_v3,H,3,54,6300,5089,300.0967630224768,internal,2
6,9,10,0.015,bounded_honeycomb_memory_EM3_v3,H,3,54,6300,5287,181.57497690292075,internal_correlated,2
10,15,16,0.015,bounded_honeycomb_memory_EM3_v3,H,5,150,6300,5066,247.6982124359347,internal,2
10,15,16,0.015,bounded_honeycomb_memory_EM3_v3,H,5,150,12700,11031,263.34139329288155,internal_correlated,2
14,21,22,0.015,bounded_honeycomb_memory_EM3_v3,H,7,294,6300,4904,304.49778264015913,internal,2
14,21,22,0.015,bounded_honeycomb_memory_EM3_v3,H,7,294,12700,11344,389.4669337712694,internal_correlated,2
18,27,28,0.015,bounded_honeycomb_memory_EM3_v3,H,9,486,6300,4828,475.3246894378681,internal,2
18,27,28,0.015,bounded_honeycomb_memory_EM3_v3,H,9,486,12700,11533,498.63825907791033,internal_correlated,2
22,33,34,0.015,bounded_honeycomb_memory_EM3_v3,H,11,726,6300,4711,884.6175872280728,internal,2
22,33,34,0.015,bounded_honeycomb_memory_EM3_v3,H,11,726,25500,23610,1193.6277615569998,internal_correlated,2
6,9,10,0.02,bounded_honeycomb_memory_EM3_v3,H,3,54,6300,4440,929.354242336005,internal,2
6,9,10,0.02,bounded_honeycomb_memory_EM3_v3,H,3,54,6300,4663,303.79048466309905,internal_correlated,2
10,15,16,0.02,bounded_honeycomb_memory_EM3_v3,H,5,150,3100,2050,185.3308727410622,internal,2
10,15,16,0.02,bounded_honeycomb_memory_EM3_v3,H,5,150,6300,4551,283.9006894608028,internal_correlated,2
14,21,22,0.02,bounded_honeycomb_memory_EM3_v3,H,7,294,3100,1771,250.1644381901715,internal,2
14,21,22,0.02,bounded_honeycomb_memory_EM3_v3,H,7,294,6300,4350,519.7631347349379,internal_correlated,2
18,27,28,0.02,bounded_honeycomb_memory_EM3_v3,H,9,486,3100,1687,668.290053807199,internal,2
18,27,28,0.02,bounded_honeycomb_memory_EM3_v3,H,9,486,3100,2072,935.5789736311417,internal_correlated,2
22,33,34,0.02,bounded_honeycomb_memory_EM3_v3,H,11,726,3100,1628,1512.4441081290133,internal,2
22,33,34,0.02,bounded_honeycomb_memory_EM3_v3,H,11,726,3100,1951,2020.519377029268,internal_correlated,2
6,9,10,0.03,bounded_honeycomb_memory_EM3_v3,H,3,54,3100,1809,2112.9883229287807,internal,2
6,9,10,0.03,bounded_honeycomb_memory_EM3_v3,H,3,54,3100,1859,1806.1592998690903,internal_correlated,2
10,15,16,0.03,bounded_honeycomb_memory_EM3_v3,H,5,150,3100,1602,1441.0112354999874,internal,2
10,15,16,0.03,bounded_honeycomb_memory_EM3_v3,H,5,150,3100,1657,812.1498588959221,internal_correlated,2
14,21,22,0.03,bounded_honeycomb_memory_EM3_v3,H,7,294,3100,1519,299.40920013864525,internal,2
14,21,22,0.03,bounded_honeycomb_memory_EM3_v3,H,7,294,3100,1609,566.9429346621037,internal_correlated,2
18,27,28,0.03,bounded_honeycomb_memory_EM3_v3,H,9,486,3100,1555,965.3062828837428,internal,2
18,27,28,0.03,bounded_honeycomb_memory_EM3_v3,H,9,486,3100,1545,1545.6783534977585,internal_correlated,2
22,33,34,0.03,bounded_honeycomb_memory_EM3_v3,H,11,726,3100,1550,2292.3213757993653,internal,2
22,33,34,0.03,bounded_honeycomb_memory_EM3_v3,H,11,726,3100,1548,3004.6756027678493,internal_correlated,2
6,9,10,0.0001,bounded_honeycomb_memory_EM3_v3,V,3,54,100000000,99999383,14656.739239488263,internal,2
6,9,10,0.0001,bounded_honeycomb_memory_EM3_v3,V,3,54,100000000,99999740,15379.078276571818,internal_correlated,2
10,15,16,0.0001,bounded_honeycomb_memory_EM3_v3,V,5,150,100000000,100000000,16072.336069956189,internal,2
10,15,16,0.0001,bounded_honeycomb_memory_EM3_v3,V,5,150,100000000,100000000,15934.541046566563,internal_correlated,2
14,21,22,0.0001,bounded_honeycomb_memory_EM3_v3,V,7,294,100000000,100000000,17224.209422898944,internal,2
14,21,22,0.0001,bounded_honeycomb_memory_EM3_v3,V,7,294,100000000,100000000,17745.573276994983,internal_correlated,2
18,27,28,0.0001,bounded_honeycomb_memory_EM3_v3,V,9,486,100000000,100000000,19904.469494533492,internal,2
18,27,28,0.0001,bounded_honeycomb_memory_EM3_v3,V,9,486,100000000,100000000,20112.52631916385,internal_correlated,2
22,33,34,0.0001,bounded_honeycomb_memory_EM3_v3,V,11,726,100000000,100000000,24658.428274283884,internal,2
22,33,34,0.0001,bounded_honeycomb_memory_EM3_v3,V,11,726,100000000,100000000,24577.038476136746,internal_correlated,2
6,9,10,0.0002,bounded_honeycomb_memory_EM3_v3,V,3,54,44102300,44101298,7225.536416978575,internal,2
6,9,10,0.0002,bounded_honeycomb_memory_EM3_v3,V,3,54,90202300,90201300,15456.998480825685,internal_correlated,2
10,15,16,0.0002,bounded_honeycomb_memory_EM3_v3,V,5,150,100000000,99999994,17601.161444765516,internal,2
10,15,16,0.0002,bounded_honeycomb_memory_EM3_v3,V,5,150,100000000,100000000,17985.187107281294,internal_correlated,2
14,21,22,0.0002,bounded_honeycomb_memory_EM3_v3,V,7,294,100000000,100000000,19624.008012294304,internal,2
14,21,22,0.0002,bounded_honeycomb_memory_EM3_v3,V,7,294,100000000,100000000,19748.59315378056,internal_correlated,2
18,27,28,0.0002,bounded_honeycomb_memory_EM3_v3,V,9,486,100000000,100000000,22326.39606029098,internal,2
18,27,28,0.0002,bounded_honeycomb_memory_EM3_v3,V,9,486,100000000,100000000,22142.88945405325,internal_correlated,2
22,33,34,0.0002,bounded_honeycomb_memory_EM3_v3,V,11,726,100000000,100000000,25939.54768380546,internal,2
22,33,34,0.0002,bounded_honeycomb_memory_EM3_v3,V,11,726,100000000,100000000,27675.68514019833,internal_correlated,2
6,9,10,0.0003,bounded_honeycomb_memory_EM3_v3,V,3,54,17702300,17701294,4929.963016754249,internal,2
6,9,10,0.0003,bounded_honeycomb_memory_EM3_v3,V,3,54,41902300,41901298,8577.424532575766,internal_correlated,2
10,15,16,0.0003,bounded_honeycomb_memory_EM3_v3,V,5,150,100000000,99999987,19949.39020148758,internal,2
10,15,16,0.0003,bounded_honeycomb_memory_EM3_v3,V,5,150,100000000,99999994,19343.40844321507,internal_correlated,2
14,21,22,0.0003,bounded_honeycomb_memory_EM3_v3,V,7,294,100000000,100000000,19704.448027483188,internal,2
14,21,22,0.0003,bounded_honeycomb_memory_EM3_v3,V,7,294,100000000,100000000,20733.745985396206,internal_correlated,2
18,27,28,0.0003,bounded_honeycomb_memory_EM3_v3,V,9,486,100000000,100000000,22564.98345789127,internal,2
18,27,28,0.0003,bounded_honeycomb_memory_EM3_v3,V,9,486,100000000,100000000,26155.41660057637,internal_correlated,2
22,33,34,0.0003,bounded_honeycomb_memory_EM3_v3,V,11,726,100000000,100000000,28920.578181321966,internal,2
22,33,34,0.0003,bounded_honeycomb_memory_EM3_v3,V,11,726,100000000,100000000,30173.983589055482,internal_correlated,2
6,9,10,0.0005,bounded_honeycomb_memory_EM3_v3,V,3,54,6702300,6701286,1450.005150262965,internal,2
6,9,10,0.0005,bounded_honeycomb_memory_EM3_v3,V,3,54,14002300,14001299,2977.5421068901196,internal_correlated,2
10,15,16,0.0005,bounded_honeycomb_memory_EM3_v3,V,5,150,100000000,99999929,22336.003682408947,internal,2
10,15,16,0.0005,bounded_honeycomb_memory_EM3_v3,V,5,150,100000000,99999989,21814.066737678368,internal_correlated,2
14,21,22,0.0005,bounded_honeycomb_memory_EM3_v3,V,7,294,100000000,100000000,23940.617743929382,internal,2
14,21,22,0.0005,bounded_honeycomb_memory_EM3_v3,V,7,294,100000000,100000000,24241.776859791018,internal_correlated,2
18,27,28,0.0005,bounded_honeycomb_memory_EM3_v3,V,9,486,100000000,100000000,26502.15603890526,internal,2
18,27,28,0.0005,bounded_honeycomb_memory_EM3_v3,V,9,486,100000000,100000000,26480.658231570385,internal_correlated,2
22,33,34,0.0005,bounded_honeycomb_memory_EM3_v3,V,11,726,100000000,100000000,30328.14763832884,internal,2
22,33,34,0.0005,bounded_honeycomb_memory_EM3_v3,V,11,726,100000000,100000000,32582.323056753492,internal_correlated,2
6,9,10,0.0007,bounded_honeycomb_memory_EM3_v3,V,3,54,3502300,3501279,844.3939249832183,internal,2
6,9,10,0.0007,bounded_honeycomb_memory_EM3_v3,V,3,54,7402300,7401292,1529.4516346270684,internal_correlated,2
10,15,16,0.0007,bounded_honeycomb_memory_EM3_v3,V,5,150,100000000,99999762,22426.069510705303,internal,2
10,15,16,0.0007,bounded_honeycomb_memory_EM3_v3,V,5,150,100000000,99999960,22803.0006294318,internal_correlated,2
14,21,22,0.0007,bounded_honeycomb_memory_EM3_v3,V,7,294,100000000,99999998,23961.909249414457,internal,2
14,21,22,0.0007,bounded_honeycomb_memory_EM3_v3,V,7,294,100000000,100000000,24703.26022887882,internal_correlated,2
18,27,28,0.0007,bounded_honeycomb_memory_EM3_v3,V,9,486,100000000,100000000,26618.313656288665,internal,2
18,27,28,0.0007,bounded_honeycomb_memory_EM3_v3,V,9,486,100000000,100000000,28001.541605415056,internal_correlated,2
22,33,34,0.0007,bounded_honeycomb_memory_EM3_v3,V,11,726,100000000,100000000,30423.55325784837,internal,2
22,33,34,0.0007,bounded_honeycomb_memory_EM3_v3,V,11,726,100000000,100000000,34518.67592610046,internal_correlated,2
6,9,10,0.001,bounded_honeycomb_memory_EM3_v3,V,3,54,1702300,1701245,426.05714834295213,internal,2
6,9,10,0.001,bounded_honeycomb_memory_EM3_v3,V,3,54,3302300,3301297,795.5743815512396,internal_correlated,2
10,15,16,0.001,bounded_honeycomb_memory_EM3_v3,V,5,150,100000000,99999204,22214.17161379638,internal,2
10,15,16,0.001,bounded_honeycomb_memory_EM3_v3,V,5,150,100000000,99999863,22200.069676097948,internal_correlated,2
14,21,22,0.001,bounded_honeycomb_memory_EM3_v3,V,7,294,100000000,99999996,24939.079026286723,internal,2
14,21,22,0.001,bounded_honeycomb_memory_EM3_v3,V,7,294,100000000,99999999,25997.651069798972,internal_correlated,2
18,27,28,0.001,bounded_honeycomb_memory_EM3_v3,V,9,486,100000000,99999999,28828.963628216647,internal,2
18,27,28,0.001,bounded_honeycomb_memory_EM3_v3,V,9,486,100000000,100000000,31265.645696478896,internal_correlated,2
22,33,34,0.001,bounded_honeycomb_memory_EM3_v3,V,11,726,100000000,100000000,39296.63271404221,internal,2
22,33,34,0.001,bounded_honeycomb_memory_EM3_v3,V,11,726,100000000,100000000,44949.31683171308,internal_correlated,2
6,9,10,0.0015,bounded_honeycomb_memory_EM3_v3,V,3,54,702300,701299,312.72991714137606,internal,2
6,9,10,0.0015,bounded_honeycomb_memory_EM3_v3,V,3,54,1602300,1601238,442.7913900373969,internal_correlated,2
10,15,16,0.0015,bounded_honeycomb_memory_EM3_v3,V,5,150,30002300,30001298,7423.314739693655,internal,2
10,15,16,0.0015,bounded_honeycomb_memory_EM3_v3,V,5,150,100000000,99999358,28978.80603233259,internal_correlated,2
14,21,22,0.0015,bounded_honeycomb_memory_EM3_v3,V,7,294,100000000,99999937,31763.530412807595,internal,2
14,21,22,0.0015,bounded_honeycomb_memory_EM3_v3,V,7,294,100000000,99999997,33018.20210431656,internal_correlated,2
18,27,28,0.0015,bounded_honeycomb_memory_EM3_v3,V,9,486,100000000,99999998,35855.84263078589,internal,2
18,27,28,0.0015,bounded_honeycomb_memory_EM3_v3,V,9,486,100000000,100000000,39510.775771480054,internal_correlated,2
22,33,34,0.0015,bounded_honeycomb_memory_EM3_v3,V,11,726,100000000,100000000,43954.60085585853,internal,2
22,33,34,0.0015,bounded_honeycomb_memory_EM3_v3,V,11,726,100000000,100000000,52634.60787389381,internal_correlated,2
6,9,10,0.002,bounded_honeycomb_memory_EM3_v3,V,3,54,402300,401280,422.3596077274997,internal,2
6,9,10,0.002,bounded_honeycomb_memory_EM3_v3,V,3,54,802300,801196,313.92522513796575,internal_correlated,2
10,15,16,0.002,bounded_honeycomb_memory_EM3_v3,V,5,150,10902300,10901286,2780.3869231224526,internal,2
10,15,16,0.002,bounded_honeycomb_memory_EM3_v3,V,5,150,52702300,52701298,14976.56013209885,internal_correlated,2
14,21,22,0.002,bounded_honeycomb_memory_EM3_v3,V,7,294,100000000,99999712,32783.102685062215,internal,2
14,21,22,0.002,bounded_honeycomb_memory_EM3_v3,V,7,294,100000000,99999986,34520.63863703422,internal_correlated,2
18,27,28,0.002,bounded_honeycomb_memory_EM3_v3,V,9,486,100000000,99999985,38165.81372934929,internal,2
18,27,28,0.002,bounded_honeycomb_memory_EM3_v3,V,9,486,100000000,99999999,43177.993265315425,internal_correlated,2
22,33,34,0.002,bounded_honeycomb_memory_EM3_v3,V,11,726,100000000,100000000,49677.757730112644,internal,2
22,33,34,0.002,bounded_honeycomb_memory_EM3_v3,V,11,726,100000000,100000000,59785.11109703686,internal_correlated,2
6,9,10,0.003,bounded_honeycomb_memory_EM3_v3,V,3,54,202300,201022,186.45791114098392,internal,2
6,9,10,0.003,bounded_honeycomb_memory_EM3_v3,V,3,54,302300,301263,238.5622794884257,internal_correlated,2
